id,file,arm,seed,acc,n,rater1_pointer_present,rater2_pointer_present,agree
1,lab_runs_persona,raw,1,,,0,0,1
2,lab_runs_persona,harnessed,1,,,1,1,1
3,lab_runs_s126,raw,1,1.0,12,0,0,1
4,lab_runs_s126,raw,2,1.0,12,0,0,1
5,lab_runs_s126,raw,3,1.0,12,0,0,1
6,lab_runs_s126,raw,4,1.0,12,0,0,1
7,lab_runs_s126,raw,5,1.0,12,0,0,1
8,lab_runs_s126,harnessed,1,0.6667,12,1,1,1
9,lab_runs_s126,harnessed,2,0.6667,12,1,1,1
10,lab_runs_s126,harnessed,3,0.6667,12,1,1,1
11,lab_runs_s126,harnessed,4,0.6667,12,1,1,1
12,lab_runs_s126,harnessed,5,0.6667,12,1,1,1
13,lab_runs_s126_gated,harnessed_gated,1,0.8333,12,1,1,1
14,lab_runs_s126_gated,harnessed_gated,2,0.75,12,1,1,1
15,lab_runs_s126_gated,harnessed_gated,3,1.0,12,1,1,1
16,lab_runs_s126_gated,harnessed_gated,4,0.75,12,1,1,1
17,lab_runs_s126_gated,harnessed_gated,5,0.9167,12,1,1,1
18,lab_runs_s126_gated,harnessed_gated,6,0.8333,12,1,1,1
